file,M,R,D,kT_comb_eV,kT_comb_sigma_eV,logT_g1,logTlo_g1,logThi_g1,kT_g1_eV,kTlo_g1_eV,kThi_g1_eV,logT_g2,logTlo_g2,logThi_g2,kT_g2_eV,kTlo_g2_eV,kThi_g2_eV,logT_g3,logTlo_g3,logThi_g3,kT_g3_eV,kTlo_g3_eV,kThi_g3_eV,logT_g4,logTlo_g4,logThi_g4,kT_g4_eV,kTlo_g4_eV,kThi_g4_eV,logT_g5,logTlo_g5,logThi_g5,kT_g5_eV,kTlo_g5_eV,kThi_g5_eV
M12_R10_D73.txt,1.2,10.0,7.3,163.74866012108868,1.0315067232135193,6.31168,6.30529,6.31737,176.6252904120778,174.0455360631205,178.95460931033375,6.3066,6.3012,6.31186,174.57131724454837,172.41414345358663,176.6985106415873,6.27989,6.27367,6.28588,164.1583162432188,161.82398397146363,166.4381534781286,6.25082,6.24368,6.25744,153.52987238632457,151.02640648495807,155.8880731280284,6.23912,6.23238,6.24542,149.4489571647755,147.14750033697123,151.63270725021303
M12_R12_D73.txt,1.2,12.0,7.3,149.7071871980191,0.9356857580588464,6.27249,6.26609,6.27816,161.38489683058248,159.02407897417368,163.5056968608489,6.26795,6.26254,6.27316,159.70660914486376,157.72948631586254,161.63406262583155,6.24114,6.2349,6.24709,150.14569651401536,148.00380779725774,152.21690558720212,6.21267,6.20558,6.21919,140.61863858066266,138.34163016582895,142.7456521076237,6.20124,6.19475,6.20746,136.9660366682317,134.93446421489753,138.94178977776727
M12_R14_D73.txt,1.2,14.0,7.3,139.7677134316117,0.8617951517372653,6.24205,6.23563,6.24765,150.46063450256702,148.2527946919905,152.41330791676657,6.23802,6.23259,6.24314,149.070905304978,147.21866966685246,150.83873756032784,6.21122,6.20497,6.21709,140.14993121160796,138.1474551056848,142.05708179326584,6.18408,6.17724,6.1903,131.6597084165163,129.60235374047068,133.5589170424808,6.17309,6.16653,6.17904,128.36980720101073,126.44535758335918,130.1406252502188
M12_R16_D73.txt,1.2,16.0,7.3,132.446702851123,0.8092892803067506,6.21746,6.21105,6.22297,142.1781598145349,140.095081733227,143.9935002829842,6.21388,6.20845,6.21889,141.0109663856106,139.2588770911128,142.6470809536239,6.18746,6.18127,6.19313,132.68837912631653,130.81058531792618,134.43207090908945,6.16125,6.15443,6.16744,124.9173863610484,122.97105215739127,126.71058294448221,6.15012,6.14347,6.15601,121.75670564458969,119.90654488500284,123.41924601888132
M14_R10_D73.txt,1.4,10.0,7.3,168.99258449539298,1.060814817247305,6.32502,6.31866,6.3307,182.13478144209216,179.48695463913123,184.5325099597041,6.32017,6.3148,6.32542,180.11209961279746,177.8987468859631,182.3026110516851,6.29355,6.28735,6.29953,169.40369893667034,167.00246786136552,171.75242946399774,6.26469,6.25761,6.2713,158.51227129076437,155.94910581662174,160.9432951933249,6.25308,6.24637,6.25937,154.33090003525857,151.96476014408694,156.58237964870642
M14_R12_D73.txt,1.4,12.0,7.3,153.31894995621803,0.961254411618552,6.2824,6.27599,6.28805,165.10981429535175,162.69076037303267,167.27186108342312,6.27799,6.27257,6.28319,163.44170680314713,161.4146277654327,165.4104293519116,6.25118,6.24493,6.25713,153.6571907624602,151.46172159351337,155.7768397104931,6.22281,6.21573,6.22934,143.94046088784333,141.61292361469978,146.12108520057424,6.21138,6.20465,6.21759,140.20157386673526,138.04570179095117,142.22072523537392
M14_R14_D73.txt,1.4,14.0,7.3,142.24166468693988,0.8768552781164369,6.24981,6.24338,6.25541,153.1732364937888,150.92211716369422,155.161113971889,6.24584,6.2404,6.25096,151.77942000944356,149.8900791512281,153.5793725477473,6.21901,6.21273,6.22488,142.6865012445471,140.63806710556614,144.62816929597403,6.19169,6.18486,6.19788,133.98706962039205,131.89638388132056,135.91046205171557,6.18074,6.17419,6.18666,130.65104535963178,128.69535995897448,132.4441830812048
M14_R16_D73.txt,1.4,16.0,7.3,134.30018909043807,0.8205608816148707,6.22366,6.21723,6.22918,144.2224566440867,142.10288296779115,146.06726211855258,6.22011,6.21466,6.22513,143.04836191114154,141.26445195392336,144.7114479298541,6.19351,6.18734,6.19918,134.54974807164922,132.6517210369972,136.31790057778053,6.16741,6.1606,6.17358,126.70183038980592,124.73056480939248,128.51472431639635,6.15632,6.14968,6.16218,123.50737429616453,121.63341183475204,125.18517158478386
M16_R10_D73.txt,1.6,10.0,7.3,175.15828688391036,1.093744882332288,6.34014,6.33379,6.34577,188.58749374144045,185.85013843895752,191.048173028218,6.33555,6.33019,6.34075,186.6048335604615,184.31593722589605,188.85256549329915,6.30904,6.30284,6.31497,175.55487297981557,173.0664514219252,177.96839710744555,6.28049,6.27346,6.28706,164.38526607363346,161.74575405317933,166.8909892414468,6.269,6.2623,6.27524,160.09320125153482,157.64234586053757,162.4100458415064
M16_R12_D73.txt,1.6,12.0,7.3,157.3507529552787,0.9840823632264128,6.29342,6.28702,6.29905,169.352997889232,166.87561872113687,171.56270652787083,6.28917,6.28375,6.29434,167.70379441652221,165.62385501270563,169.71213185905376,6.2624,6.25614,6.26832,157.67864853143718,155.42214160709725,159.84273020250308,6.23423,6.22717,6.24073,147.77565362065286,145.39279617911833,150.00401687211775,6.22281,6.21607,6.22899,143.94046088784333,141.72383279760933,146.00337295798064
M16_R14_D73.txt,1.6,14.0,7.3,145.08663691144326,0.8962796874273551,6.25832,6.25189,6.26391,156.2042654530836,153.90860043056566,158.22783615781427,6.25444,6.24899,6.25955,154.81494718086105,152.88429993602438,156.64729106511953,6.22759,6.22129,6.23345,145.53347149044464,143.43756001748744,147.51048432276755,6.20006,6.19323,6.20646,136.59439815110605,134.46302860133818,138.62223252889808,6.18913,6.18261,6.19504,133.1995902748154,131.21481997801817,135.02459674942514
M16_R16_D73.txt,1.6,16.0,7.3,136.365949568347,0.8350262189969471,6.23045,6.224,6.23598,146.49502929128496,144.33540957532568,148.37232048499382,6.22694,6.22148,6.23197,145.31581732913253,143.50032641197754,147.00864983617134,6.20009,6.19393,6.20589,136.60383408375714,134.6799321536414,138.44041386396626,6.17414,6.16733,6.18027,128.68054421098495,126.67849319963355,130.50972932036066,6.16308,6.15644,6.16892,125.44486513572926,123.54150535999959,127.14312715469754
M18_R10_D73.txt,1.8,10.0,7.3,182.40685321796977,1.1318196509637612,6.35732,6.35093,6.36286,196.19723786602088,193.33161949133955,198.71602396007705,6.35297,6.34763,6.35812,194.2418872161964,191.8681503737127,196.5589796083472,6.32659,6.3204,6.33247,182.79440091253238,180.20751126551053,185.28612081326276,6.29846,6.29148,6.30496,171.32979251243992,168.59818263445692,173.91333725855813,6.28709,6.28041,6.29326,166.9025180607529,164.35498797738109,169.29061743069963
M18_R12_D73.txt,1.8,12.0,7.3,161.92234215443938,1.0096371004616715,6.30556,6.29916,6.31116,174.1537734624672,171.6061661818257,176.4139356939171,6.3015,6.29608,6.30663,172.53328406952136,170.39344711917315,174.5833766204421,6.27478,6.2685,6.28066,162.23811395454092,159.90899320121378,164.44962554996985,6.24685,6.23983,6.25333,152.1328106549812,149.69348143684547,154.41976561782784,6.23545,6.22872,6.24161,148.19136178226586,145.9126311665705,150.3082743942658
